CD8T;CD4T;NK;Bcell;Mono;Gran
200705360018_R07C01;0.190792516718071;0.184960180791385;0.0031680440590085;0.0705428152485501;0.0643765227268882;0.51383676263569
200705360018_R08C01;0.0733611716781719;0.0250802727440289;0;0.0265992975037784;0.0431715472472905;0.847550918235033
200705940085_R01C01;0.141746139655557;0.221523700546771;0.00921959547991033;0.09390373985028;0.0476602718968979;0.502896099949293
200705940085_R02C01;0.209516356094157;0.350306655974709;0.0385240916670865;0.12166429279074;0.038579228935947;0.253215506659458
200705940085_R03C01;0.019247101628969;0.114271813481649;0.0765247490830696;0.039366656171089;0.0955083653225081;0.681712045140732
200705940085_R04C01;0.0173100988541278;0.147884964766437;0.0596814605000063;0.0292953532630998;0.154231786191159;0.611971088942708
200705940085_R05C01;0.0126455348636765;0.0682758848179687;0.0463507178134691;0.0307649746439437;0.046680547982743;0.813178095004116
200705940085_R06C01;0.0511297558411759;0.175530632118817;0.0507023551484801;0.0505682489811542;0.0655318754294049;0.636865285805777
200705940085_R07C01;0.0694201580026257;0.0676119549517399;0.0727587849512541;0.037994080869643;0.0287511723513004;0.740117548096823
200705940085_R08C01;0.122999249289313;0.0926632343583498;0.0603717076624206;0.0582178507161131;0.0451146638830643;0.644041865974651
200705360087_R01C01;0.0441741721656758;0.111975302194552;0.0786325710580478;0.0744680019115767;0.0397096613351208;0.662587562717116
200705360087_R02C01;0.102490459511035;0.216876158885838;0.0772418252076862;0.0991102021196882;0.0601131229287403;0.46389714527343
200705360087_R03C01;0.055981842486482;0.0988710745533931;0.0174078959388756;0.0369368504079998;0.0309969102270068;0.772828981664522
200705360087_R04C01;0.075579680012476;0.198992634954711;0.040858930131941;0.0349855675606402;0.0442508243471556;0.611468019707452
200705360087_R05C01;0.0310484054127155;0.0433763542664371;0.0317756441294218;0.0446079931692658;0.0447554407352365;0.815394474866691
200705360087_R06C01;0.0898401422170635;0.161580799063848;0.036095090648028;0.109667789966633;0.0720596568532791;0.564084914445215
200705360087_R07C01;0.0172700597681884;0.0639951638613336;0.0476662071016958;0.0455892136650933;0.107366065201831;0.740908648565039
200705360087_R08C01;0.0383631664055482;0.115166289779018;0.0691796582022301;0.0564021622911842;0.101637372069672;0.644773051676022
200705940096_R01C01;0.000556321645720949;0.0355409266211743;0.0334504759053623;0.0270309544332321;0.0382286474404175;0.871739265616718
200705940096_R02C01;0.0177585695980201;0.0979559480070831;0.054052447484791;0.0491050324001126;0.0883362968953772;0.701830426328951
200705940096_R03C01;0.0763552408346944;0.0648545296343988;0.0668580151265504;0.0843691529151644;0.0800989126509786;0.670619801432189
200705940096_R04C01;0.0583442608473515;0.107795964910598;0.183867471346479;0.0821222444483106;0.0874029369689567;0.517100502581234
200705940096_R05C01;0.056255309716521;0.124951912037591;0.0883827482517747;0.0595049489589406;0.0498566499562578;0.647639410844251
200705940096_R06C01;0.114839424817459;0.228513822338071;0.0161564266771742;0.0930543933291508;0.0780243708543611;0.501389110114622
200705940096_R07C01;0.0787563081954865;0.0907404723280357;0.00453544664822241;0.0646952293428441;0.0648437951450229;0.739630245579283
200705940096_R08C01;0.06301988385249;0.129781690220669;0;0.0411497658808339;0.0702773487453175;0.716155198829172
200705860068_R01C01;0.0318532315474186;0.0567434018562998;0.0316737886043301;0.0404101366870188;0.0526244368891765;0.790580435373423
200705860068_R02C01;0.049554803009282;0.169099261475716;0.0289407932364632;0.0696022674032227;0.0791825188752755;0.61911187432576
200705860068_R03C01;0.0477905858138215;0.199459239044684;0.127354448094801;0.0883793139178107;0.095977584056047;0.467792412463248
200705860068_R04C01;0.0957116542023363;0.328509426419773;0.113190100642522;0.125805687246732;0.103345946278443;0.276340783869472
200705860068_R05C01;0.0431699021989075;0.0571344959555575;0.0209357814879941;0.0336993805330653;0.0275765331991412;0.837522558533997
200705860068_R06C01;0.081512740488996;0.188526606206132;0.0307855744743963;0.0644783631349859;0.0411614041336488;0.62960593089141
200705860068_R07C01;0.056902129790295;0.17293597555305;0.0282856835648795;0.0494656788977206;0.0573631321119222;0.658982162972502
200705860068_R08C01;0.0463456590526638;0.26488802296886;0.0144337618780676;0.0508081813317743;0.0500404808852577;0.593177082484478
200705940005_R01C01;0.0391914527693788;0.0906110053753995;0.02393825621192;0.0395998202144133;0.0833870181470823;0.736979827077601
200705940005_R02C01;0.0686206444568125;0.196198159376227;0.0504632287300769;0.062853601890822;0.0904925938116473;0.544844912190645
200705940005_R03C01;0.0369929942508798;0.069490293393702;0;0.0458320432598862;0.0394029413781561;0.819098546820406
200705940005_R04C01;0.0784757471778448;0.210260509509012;0.0166872789006941;0.0914673054281402;0.0739863009395148;0.544869416193166
200705940005_R05C01;0.0515400571322752;0.0928835375921126;0.0540477329962839;0.0582817333600717;0.042916717818171;0.70912335459813
200705940005_R06C01;0.0972874583130617;0.208716730376929;0.0828345647850046;0.0849586263753115;0.0781226869610101;0.473248105579889
200705940005_R07C01;0.0561938427604906;0.085319050780234;0.0199997879769347;0.0527178770874126;0.0562278365164935;0.746134870082009
200705940005_R08C01;0.118038274454095;0.200840994086328;0.00817069000245072;0.0892234754333583;0.065722070943134;0.547630263278548
200705860062_R01C01;0.039138595035219;0.242724965671791;0.0416794904767037;0.0568615832820274;0.0782435280190943;0.554032605870452
200705860062_R02C01;0.0245801879169451;0.0872099139563128;0.0303317748077285;0.0470729174841973;0.0439801260043568;0.783175924259088
200705860062_R03C01;0.0503671852522484;0.121666856998945;0.102228318220164;0.0407008554963573;0.0545399645189812;0.644692556098653
200705860062_R04C01;0.0274768059400534;0.0483245817640889;0.146473185636692;0.0255098942544264;0.0212001356857836;0.743727818735482
200705860062_R05C01;0.130987202914962;0.148632576554183;0.0430467169896074;0.107860463192816;0.0402092067261859;0.555727866695564
200705860062_R06C01;0.073150363678986;0.0377178162595863;0.0375586661678282;0.0466263377366833;0.0417678816301051;0.781720996788942
200705860062_R07C01;0.0757000920681979;0.209416431063183;0.0715436023082214;0.0936885390576826;0.0562599919496776;0.515636672257486
200705860062_R08C01;0.0453017443512286;0.154994066108145;0.0496228788435839;0.0667941333009674;0.0233095543071321;0.682222276267448
200720060045_R01C01;0.0193517188980298;0.215111441546011;0.0769462281454414;0.0660534114259647;0.0675672531301093;0.57727835996853
200720060045_R02C01;0.0291401858558098;0.393758316882849;0.101118943121205;0.0962088015985491;0.0938238389552518;0.298001836908627
200720060045_R03C01;0.013964635361945;0.0669685476429898;0.00494846584393314;0.028178813467407;0.043359738677574;0.848927291752833
200720060045_R04C01;0.0269985297007985;0.147505705519863;0.0273204714722184;0.0380324989467602;0.0666412706807175;0.697895012876373
200720060045_R05C01;0.0507109103842312;0.0953985181076107;0.053948003987855;0.057966791432227;0.0184052152526629;0.741744873737514
200720060045_R06C01;0.0823841521794436;0.194671037537983;0.0694323463549132;0.0903403144709058;0.0405387061944487;0.544323376194816
200720060045_R07C01;0.0401221752817255;0.0896476592930471;0.0851211918806446;0.0478892715855917;0.0289981222425621;0.723774112560104
200720060045_R08C01;0.0751737017272926;0.173945455723066;0.0808973115658644;0.0723430620172549;0.0650974867909657;0.544778047243853
200720060022_R01C01;0.0640719190881096;0.0554803820096242;0.026585944961953;0.0557793215870412;0.015349988665513;0.807955009926803
200720060022_R02C01;0.0822862923162261;0.202779814546204;0.0175845722750274;0.0876956919748255;0.0282480167916881;0.597220013679787
200720060022_R05C01;0.017099353001981;0.177935785398139;0.0470697182344337;0.0549733940214915;0.0157975431805635;0.703247251377022
